module,recordId,recordName,attachmentCount,totalSizeBytes,totalSizeReadable
Deals,5146753000178433065,Special Integrated Logistics Zone (SILZ),1,1881306,1.8 MB
Deals,5146753000178433025,Applied Computer Services Company (HASIB),1,1891094,1.8 MB
